,BLOCK CLAIM LIABILITY REPORT Reported Lag Triangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Millennium-2000 Sample Life Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arvind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Experience Period:  01-Aug-1998  to  31-Jul-2001.  Runout Date:  31-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,REPORTED CLAIMS / NUMBER OF MONTHS BETWEEN INCURRED AND REPORTED DATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incurred Month,Trend to Valuation Month,Exposure,Total Incurred and Reported Claims,Inc&Rep as of the end of Each Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Aug-1998, 1.1853 ," 2,576.16 "," 99,219 "," 25,147 "," 25,147 "," 74,072 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Sep-1998, 1.1795 ," 2,663.77 "," 99,219 "," 130,472 "," 31,253 "," 67,966 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Oct-1998, 1.1738 ," 2,728.21 "," 292,014 "," 228,624 "," 30,186 "," 157,846 "," 54,319 "," 49,663 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Nov-1998, 1.1681 ," 2,780.75 "," 292,014 "," 436,397 "," 49,927 "," 140,535 "," 51,889 "," 49,663 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
