PAGE SETTINGS TEST DOCUMENT,,,,,,,,,,
,,,,,,,,,,
3 - MANUAL PAGE SETTINGS #2,,,,,,,,,,
,,,,,,,,,,
3.1 - PAGE MARGINS,,,3.2 - PAGE SETUP,,,3.3 - PRINT OPTIONS,,,3.4 - HEADERS AND FOOTERS,
,Inch,,,,,,,,,
Left,0,,Paper size,A5,,Horizontally centered,off,,Header,(none)
Right,0,,Copies,1,,Vertically centered,off,,Footer,(none)
Top,1,,Scale,100%,,Print gridlines,off,,,
Bottom,1,,First page,auto,,Print headings,off,,,
Header,0,,Fit to width,2,,,,,,
Footer,0,,Fit to height,auto,,,,,,
,,,Fit to pages,on,,,,,,
,,,Orientation,portrait,,,,,,
,,,Page order,down,,,,,,
,,,Print comments,at end,,,,,,
,,,Print errors,#NA,,,,,,
,,,Black and white,off,,,,,,
,,,Draft quality,off,,,,,,
,,,Background bmp,Smiley,,,,,,
