_________________,,,,,,,,,,,,,,
,,,,,,,,,,_____91 _ 08 _26_,,,,
,_                         _,__,___,_90_12____,91______,______(%),91_________,"________",___%,__,91_______,____,,
1,________(POTS),_,__,"8,253,465 ","1,137,000 ",21.84%,"8,463,465 ","6,723,991 ",79.45%,__(________91/07/31),"248,300 ","91,300 ",___23445420___,
,,,__,"4,082,500 ","79,000 ",46.84%,"4,118,500 ","2,871,990 ",69.73%,,"37,000 ","15,000 ",,
,,,__,"4,823,946 ","512,300 ",78.12%,"4,855,606 ","3,326,144 ",68.50%,,"400,200 ","173,300 ",,
2,ISDN BRA,_,__,"79,129 ",832 ,15.38%,"79,257 ","18,335 ",23.13%,,128 ,"1,912 ",___23442588___,
,,,__,"23,590 ",340 ,87.06%,"23,630 ","3,869 ",16.37%,,296 ,"1,024 ",,
,,,__,"41,150 ","1,486 ",95.83%,"42,574 ","5,511 ",12.94%,,"1,424 ","1,592 ",,
3,ISDN T1-PRA,_,__,"8,177 ",0 ,0.00%,"8,177 ","4,286 ",52.42%,,0 ,"2,534 ",,
,,,__,"4,486 ",310 ,51.61%,"4,621 ","1,599 ",34.60%,,160 ,260 ,,
,,,__,"5,614 ",0 ,0.00%,"5,629 ","1,573 ",27.94%,,15 ,"3,262 ",,
4,ISDN E1-PRA,_,__,"3,445 ","2,670 ",10.49%,"3,725 ",720 ,19.33%,,280 ,"2,910 ",,
,,,__,"1,260 ",0 ,0.00%,"1,260 ",77 ,6.11%,,0 ,650 ,,
,,,__,"4,605 ",980 ,57.04%,"4,810 ",249 ,5.18%,,559 ,"4,000 ",,
5,________,_,__,"2,088,000 ","60,000 ",0.00%,"2,289,480 ","1,321,486 ",57.72%,__(________91/07/31),,,,
6,________,_,__,"74,840 ",-,-,"74,840 ","57,476 ",76.80%,__(________91/07/20),,,,
,__IN______,_,__,"30,000 ",-,-,"30,000 ","6,556 ",21.85%,,,"1,968,000 ","__153480,102000,6000,POI__60000____",
7,__ATM______,_,__,"657,555 ",-,-,"726,963 ","666,848 ",91.73%,__(PAMS________91/08/26),,"653,985 ",,
,,,__,"327,445 ",-,-,"378,381 ","290,525 ",76.78%,,,"322,856 ",,
,,,__,"324,702 ",-,-,"393,973 ","332,409 ",84.37%,,,"318,770 ",,
8,__ATM____,_,__,--,-,100.00%,11 ,-,-,__________8/20_______1699____,,11 ,,
9,__10G DWDM SDH__,_,__,--,14 ,0.00%,--,--,0.00%," DWDM__91/8/19__,__92/2__",,,,
10,________SDH__,_,__,480 ,0 ,0.00%,570 ,288 ,50.53%,______(________91/08/26),,0 ,,
11,________SDH__,_,__,875 ,404 ,54.46%,875 ,618 ,70.63%,,220,0 ,,
12,____ADSL__,_,__,"582,263 ","450,000 ",103.52%,"964,978 ","796,863",82.58%,____(________91/09/02),,"915,010 ",______,
,,,__,"350,232 ","250,000 ",103.44%,"539,990 ","312,979",57.96%,,,,,
,,,__,"311,120 ","200,000 ",60.01%,"458,974 ","342,463",74.61%,,,,,
13,HiNet_____,_,__,"1,000,000 ","900,000 ",100.00%,"1,900,000 ","1,138,712 ",59.93%,,,"800,000 ",23444600_____;23442307_____,
14,_______,_,__,"6,500,000 ","700,000 ",142.86%,"7,500,000 ","7,172,329",95.63%,__(________91/08/26),,"1,597,411 ",,
15,_______,_,__,"5,165 ","1,430 ",95.59%,"6,532 ","6,513",99.71%,,,"1,876 ",,
16,______,___,__,"235,320 ","21,000 ",71.14%,"257,010 ","115,071",44.77%,__(________91/08/28),"7,698 ",,,
,,,__,"215,317 ","22,600 ",72.26%,"240,253 ","90,213",37.55%,,"4,416 ",,,
,,,__,"198,616 ","17,600 ",71.39%,"205,506 ","78,427",38.16%,,"4,683 ",,,
17,______,___,__,"223,779 ","18,000 ",93.16%,"241,917 ","44,911",18.56%,,"5,176 ",,,
,,,__,"195,607 ","37,100 ",60.62%,"231,870 ","34,850",15.03%,,"5,623 ",,,
,,,__,"134,048 ","28,500 ",47.06%,"147,459 ","27,886",18.91%,,"1,500 ",,,
18,____,_,__,"13,652,200 ","55,200 ",94.93%,"11,787,300 ","7,324,290",62.14%,__(________91/08/13),"22,400 ",,,
,,,__,"6,472,300 ","59,200 ",76.52%,"5,195,800 ","2,965,123",57.07%,,"10,500 ",,,
,,,__,"7,902,900 ","75,000 ",47.33%,"6,328,000 ","3,654,694",57.75%,,"13,100 ",,,
19,____,Mbps,__,"10,665",-,-,"10,665 ","3,610",33.85%,____(________91/08/13),,,910813_______________3610,
20,____,Mbps,__,"28,864",-,-,"28,864 ","10,774",37.33%,____(________91/08/13),,,,
