,REFDATE (Inc),LAG0,LAG1,LAG2,LAG3,LAG4,LAG5,LAG6,LAG7,LAG8,LAG9,LAG10,LAG11,LAG12,LAG13,LAG14,LAG15,LAG16,LAG17,LAG18,LAG19,LAG20,LAG21,LAG22,LAG23,LAG24,LAG25,LAG26,LAG27,LAG28,LAG29,LAG30,LAG31,LAG32,LAG33,LAG34,LAG35,
,8/1/98,25147,74072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,9/1/98,31253,67966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,10/1/98,30186,157846,54319,49663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,11/1/98,49927,140535,51889,49663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,12/1/98,6022,55145,17920,25255,5019,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1/1/99,31494,39304,24477,9937,4149,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2/1/99,13659,80920,40769,15086,8570,4171,913,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3/1/99,57935,68120,13660,10719,11697,1703,254,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,4/1/99,16933,64705,35845,36513,13434,1335,1739,150,64,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,5/1/99,36127,62953,22027,34250,12905,1541,701,150,64,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,6/1/99,16631,145028,48307,6744,43499,10999,6831,14862,638,86,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,7/1/99,98502,96530,25198,25454,21540,10627,188,14862,711,13,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,8/1/99,8178,50538,21390,25812,3445,-482,1182,512,61,-300,0,454,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,9/1/99,22133,43202,19233,23721,1187,-269,856,553,20,-300,374,80,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,10/1/99,8887,57900,69592,13073,3966,7382,990,1455,1212,252,-208,4466,924,85,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,11/1/99,31566,83114,23227,13635,5991,3977,323,1412,1242,450,-376,4430,900,85,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,12/1/99,1321,33300,30097,27921,5276,1752,9245,117,216,314,204,442,561,179,17,273,135,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1/1/00,14982,44836,31946,3681,2985,1328,9314,117,56,430,88,538,508,153,0,273,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2/1/00,9736,90376,64236,12899,29961,702,1231,530,991,30,0,0,0,0,0,791,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3/1/00,68074,108795,22323,1146,6942,821,1096,511,954,30,0,0,0,0,0,791,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,4/1/00,10201,90658,24213,20107,28866,6492,1428,616,53,168,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,5/1/00,80043,39941,10905,38977,4745,6586,1310,107,20,168,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,6/1/00,4501,74638,87955,99302,13877,20118,5661,21364,159,480,28,693,0,0,131,0,294,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,7/1/00,45495,81868,96720,55381,3174,17865,5653,21419,0,480,702,19,0,131,0,0,294,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,8/1/00,2952,58928,130303,52128,14870,3898,15681,1013,981,121,0,84,213,53,0,0,0,210,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,9/1/00,22590,127706,52799,53458,8807,2747,11162,581,1025,0,0,84,213,53,0,0,210,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,10/1/00,2217,50074,38342,59896,12140,3146,1154,9723,403,0,1132,177,160,3268,288,398,57,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,11/1/00,19627,78051,32446,30039,3104,8621,1405,3535,707,57,692,229,3279,40,328,415,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,12/1/00,5402,16943,34607,6988,3602,2116,7375,474,3162,1388,160,284,406,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,1/1/01,15456,19047,26813,7995,520,1792,5685,405,4138,206,360,188,302,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2/1/01,544,16998,37793,49731,28448,2175,1814,333,718,1341,64,28,0,0,256,108,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,3/1/01,8442,51447,16192,58463,1725,1611,455,881,679,64,28,0,0,0,256,108,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,4/1/01,1180,33425,35398,24109,7879,9007,1278,1250,572,253,0,0,-247,266,7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,5/1/01,24336,38853,23133,13306,5789,5946,1041,1381,313,253,0,0,-247,266,7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,6/1/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,7/1/01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
