_________________,,,,,,,,,,,,,,
,,,,,,,,,,_____91 _ 07 _15_,,,,
,_                         _,__,___,_90_12____,91______,______(%),91_________,"________",___%,__,91_______,____,,
1,________(POTS),_,__,"8,253,465 ","1,137,000 ",21.84%,"8,312,765 ","6,714,234 ",80.77%,__(____________91/07/04_____________91/06/30),"248,300 ","91,300 ",___23445420___,
,,,__,"4,082,500 ","79,000 ",46.84%,"4,093,500 ","2,876,840 ",70.28%,,"37,000 ","15,000 ",,
,,,__,"4,823,946 ","512,300 ",78.12%,"4,979,930 ","3,321,086 ",66.69%,,"400,200 ","173,300 ",,
2,ISDN BRA,_,__,"79,129 ",832 ,15.38%,"79,257 ","18,428 ",23.25%,,128 ,"1,912 ",___23442588___,
,,,__,"23,590 ",340 ,87.06%,"23,630 ","3,845 ",16.27%,,296 ,"1,024 ",,
,,,__,"41,150 ","1,486 ",95.83%,"42,574 ","5,508 ",12.94%,,"1,424 ","1,592 ",,
3,ISDN T1-PRA,_,__,"8,177 ",0 ,0.00%,"8,177 ","4,560 ",55.77%,,0 ,"2,534 ",,
,,,__,"4,486 ",310 ,51.61%,"4,621 ","1,654 ",35.79%,,160 ,260 ,,
,,,__,"5,614 ",0 ,0.00%,"5,629 ","1,687 ",29.97%,,15 ,"3,262 ",,
4,ISDN E1-PRA,_,__,"3,445 ","2,670 ",10.49%,"3,725 ",700 ,18.79%,,280 ,"2,910 ",,
,,,__,"1,260 ",0 ,0.00%,"1,260 ",74 ,5.87%,,0 ,650 ,,
,,,__,"4,605 ",980 ,57.04%,"4,810 ",249 ,5.18%,,559 ,"4,000 ",,
5,________,_,__,"2,088,000 ","60,000 ",0.00%,"2,289,480 ","1,333,260 ",58.23%,__(________91/06/30),,,,
6,________,_,__,"74,840 ",-,-,"74,840 ","56,812 ",75.91%,__(________91/06/30),,,,
,__IN______,_,__,"30,000 ",-,-,"30,000 ","6,997 ",23.32%,,,"1,968,000 ","__153480,102000,6000,POI__60000____",
7,__ATM______,PVC_,__,"657,555 ",-,-,"725,528 ","656,068 ",90.43%,__(PAMS________91/07/15),,"653,985 ",,
,,,__,"327,445 ",-,-,"381,202 ","276,954 ",72.65%,,,"322,856 ",,
,,,__,"324,702 ",-,-,"388,023 ","309,845 ",79.85%,,,"318,770 ",,
8,__ATM____,_,__,--,-,100.00%,11 ,-,-,__________________,,11 ,,
9,__10G DWDM SDH__,_,__,--,14 ,0.00%,--,--,0.00%,__ SDH,,,,
10,________SDH__,_,__,480 ,0 ,0.00%,570 ,277 ,48.60%,______(________91/07/15),,0 ,,
11,________SDH__,_,__,875 ,404 ,54.46%,875 ,610 ,69.71%,,220,0 ,,
12,____ADSL__,_,__,"582,263 ","450,000 ",68.02%,"845,254 ","730,222",86.39%,____(________91/07/15),,"915,010 ",______,
,,,__,"350,232 ","250,000 ",64.17%,"535,936 ","286,156",53.39%,,,,,
,,,__,"311,120 ","200,000 ",32.51%,"427,361 ","311,835",72.97%,,,,,
13,HiNet_____,_,__,"1,000,000 ","900,000 ",100.00%,"1,900,000 ","1,038,348 ",54.65%,,,"800,000 ",23444600_____;23442307_____,
14,_______,_,__,"6,500,000 ","700,000 ",142.86%,"7,500,000 ","6,983,932",93.12%,__(________91/07/15),,"1,597,411 ",,
15,_______,_,__,"5,165 ","1,430 ",69.02%,"6,152 ","6,144",99.87%,,,"1,876 ",,
16,______,___,__,"235,320 ","21,000 ",60.62%,"248,124 ","110,779",44.65%,__(________91/07/15),"7,698 ",,,
,,,__,"215,317 ","22,600 ",60.09%,"238,312 ","90,800",38.10%,,"4,416 ",,,
,,,__,"198,616 ","17,600 ",45.05%,"211,274 ","80,066",37.90%,,"4,683 ",,,
17,______,___,__,"223,779 ","18,000 ",79.60%,"237,053 ","42,633",17.98%,,"5,176 ",,,
,,,__,"195,607 ","37,100 ",50.23%,"231,498 ","33,224",14.35%,,"5,623 ",,,
,,,__,"134,048 ","28,500 ",36.56%,"145,488 ","26,809",18.43%,,"1,500 ",,,
18,____,_,__,"13,652,200 ","55,200 ",78.26%,"11,746,200 ","7,315,673",62.28%,__(________91/07/15),"22,400 ",,,
,,,__,"6,472,300 ","59,200 ",65.20%,"5,183,700 ","2,954,709",57.00%,,"10,500 ",,,
,,,__,"7,902,900 ","75,000 ",45.33%,"6,315,100 ","3,645,051",57.72%,,"13,100 ",,,
19,____,Mbps,__,"10,665",-,-,"10,665 ","3,600",33.76%,____(________91/06/30),,,,
20,____,Mbps,__,"28,864",-,-,"28,864 ","10,506",36.40%,____(________91/06/30),,,,
