Tractor Loan,,,,,,
,,,,Monthly Repayment,Total Repayment,Total Interest
Amount of loan,"$30,000 ",,,$379.54 ,"$45,544.85 ","$15,544.85 "
,,,7.50%,$356.11 ,"$42,732.64 ","$12,732.64 "
Interest Rate,8.97%,,7.97%,$363.51 ,"$43,620.89 ","$13,620.89 "
,,,8.50%,$371.96 ,"$44,634.85 ","$14,634.85 "
Term of Loan (Years),10,,8.97%,$379.54 ,"$45,544.85 ","$15,544.85 "
,,,9.50%,$388.19 ,"$46,583.12 ","$16,583.12 "
Number of Payments (per Year),12,,9.57%,$389.34 ,"$46,721.20 ","$16,721.20 "
,,,,,,
Amount of Payment,$379.54 ,,,,,
,,,,,,
Total Paid,"$45,544.85 ",,,,,
Interest Paid,"$15,544.85 ",,,,,
To be Repaid by,December 2023,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
