,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steps!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P&L Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,P&L Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Today,,,,,5 Day Rolling,,,,,MTD,,,,,QTD,,,,,YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Day Rolling,,,,9-Feb-01,,,,8-Feb-01,,,,7-Feb-01,,,,6-Feb-01,,,,5-Feb-01,,,,2-Feb-01,,,,1-Feb-01,,,,31-Jan-01,,,,30-Jan-01,,,,29-Jan-01,,,,26-Jan-01,,,,25-Jan-01,,,,24-Jan-01,,,,23-Jan-01,,,,22-Jan-01,,,,19-Jan-01,,,,18-Jan-01,,,,17-Jan-01,,,,16-Jan-01,,,,12-Jan-01,,,,11-Jan-01,,,,10-Jan-01,,,,9-Jan-01,,,,8-Jan-01,,,,5-Jan-01,,,,4-Jan-01,,,,3-Jan-01,,,,2-Jan-01,,,,29-Dec-00,,,,28-Dec-00,,,,27-Dec-00,,,,26-Dec-00,,,,22-Dec-00,,,,21-Dec-00,,,,20-Dec-00,,,,19-Dec-00,,,,18-Dec-00,,,,15-Dec-00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underlying ,Today's ,,,Chg in Underlying,Asset,Hedge,Valuation,Total,,Asset,Hedge,Valuation,Total,,Asset,Hedge,Valuation,Total,,Asset,Hedge,Valuation,Total,,Asset,Hedge,Valuation,Total,,,,,Tag,,,,,,,,,,,,,,,,,,,,Tag,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total,Asset,Hedge,Valuation,Total
Share Price,Market Value,Ticker,,Share Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,US Publics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
