Assortment_category,Leaflet__,Republic,Date_from,Date_to,Product,Volume,Unit,Price_info,Price_Action,Price_Off_Action,Note,Akce,Akce2,Code_article,Vyhoda,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Ryža gu_atozrnná 1 kg,1,kg,,23.80,35.85,,3,,2110Norma-Ryza,-33 %,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,Džús 100% 1 l,1,l,,16.57,20.79,pomaran_ alebo jablko,3,,CAR100Pomaranc,-20%,,,,,,,,,,,
4,,sk,21/10/2009,2/11/2009,Pangasius 1000 g,1000,g,,99.11,159.07,mrazený,,,filetpangas,-37%,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Karpatské Brandy KB 40% 0,7 l",0.7,l,,187.99,246.73,"1 l 8,91 € / 268,42 Sk",,,KarpatskeKB07,-23%,,,,,,,,,,,
2,,sk,21/10/2009,27/10/2009,Dusená šunka,100,g,,12.95,17.77,Cena za 100 g,2,,prazska_sunka_2507,-27%,,,,,,,,,,,
2,,sk,21/10/2009,27/10/2009,Krivá_ saláma,100,g,,17.47,23.80,Cena za 100 g,2,,salamkrivan_1212,-26%,,,,,,,,,,,
2,,sk,21/10/2009,27/10/2009,Spišské párky zo Spiša,100,g,,14.76,21.99,Cena za 100 g,2,,spisparkykomp_2507,-32%,,,,,,,,,,,
5,,sk,21/10/2009,27/10/2009,Banány,1,kg,,29.82,35.85,Karajina pôvodu: Kostarika. Cena za 1 kg.,2,,bananykomp,-16%,,,,,,,,,,,
5,,sk,21/10/2009,27/10/2009,Slovenské paradajky,1,kg,,38.86,47.90,Cena za 1 kg,2,,rajcatakompnew,-18%,,,,,,,,,,,
1,,sk,21/10/2009,27/10/2009,Senická tehla 45 %,100,g,,11.75,15.06,Cena za 100 g,2,,eidam45komp_2111,-22%,,,,,,,,,,,
2,,sk,21/10/2009,27/10/2009,Brav_ové stehno,1,kg,,120.20,138.28,Cena za 1 kg,2,,kyta,-13%,,,,,,,,,,,
2,,sk,21/10/2009,27/10/2009,Hovädzia falošná svie_ková,1,kg,,210.58,278.97,Cena za 1 kg,2,,falosnasvieckova,-24%,,,,,,,,,,,
6,,sk,21/10/2009,27/10/2009,Žem_a pletená 250 g,250,g,,8.74,15.97,"1 kg 1,16 € / 34,95 Sk",2,,houskapletkomp,-45%,,,,,,,,,,,
2,,sk,21/10/2009,2/11/2009,Hungária 350 g,350,g,,120.20,,"1 kg 11,40 € / 343,43 Sk",,,Hungaria350gSz,,,,,,,,,,,,
2,,sk,21/10/2009,2/11/2009,Treska v majonéze 400 g,400,g,,38.86,,"1 kg 3,22 € / 97,00 Sk",3,,treskamajonezkomp,,,,,,,,,,,,
2,,sk,21/10/2009,2/11/2009,Kuracie rezne,,,,147.32,189.79,chladené,2,,kuracie_rezne,-22%,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,"Zvolenský jogurt 2,7% 125 g",125,g,,6.33,,"4 druhy, 1 kg 1,68 € / 50,61 Sk",,,Zvj27jahoda125g,,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,"Srdie_ko mlie_ny dezert 4 x 57,5 g","4x57,5",g,,17.77,,"2 druhy, 1 kg 2,56 € / 77,12 Sk",1,,3D_Srdiecko_KIDS_Jahoda_SK_V02,,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,Müller Grácie jogurt 150 g,150,g,,10.85,,"5 druhov, 1 kg 2,40 € / 72,30 Sk",,,GracieStrawberry,,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,Termix 90 g,90,g,,8.74,,"2 druhy, 1 kg 3,22 € / 97,00 Sk",,,termix_vanilka,,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,Apetito 140 g,140,g,,26.81,,"3 druhy, 1 kg 6,35 € / 191,30 Sk",,,APSC_140klasik,,,,,,,,,,,,
1,,sk,21/10/2009,2/11/2009,Flora alebo Flora light 400 g,400,g,,38.86,,"1 kg 3,22 € / 97,00 Sk",,,FLORAoriginal400gSK,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Mletá káva Lavazza Caffé Espresso 250 g,250,g,,126.23,174.43,"1 kg 16,76 € / 504,91 Sk",2,,2110Corner-Lavazza_Espresso,-27%,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Orion _okoláda 100 g 2 + 1 v cene,,,,56.64,,"1 ks 0,62 € / 18,67 Sk. Bežná cena za 1 ks: 0,96 € / 28,92 Sk",,,2110Nestle-ORION100GBARILA2008,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,7 Days Croissant 65 g,65,g,,9.94,,"4 druhy, 1 kg 5,07 € / 152,73 Sk",,,2110Chipita-MidiCOCOA,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Heliol slne_nicový olej 2 l,2,l,,90.08,,"1 l 1,49 € / 44,88 Sk",,,2110Palma-HELIOL_2l,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Emco Mysli 750 g,750,g,,65.98,,"4 druhy, 1 kg 2,92 € / 87,96 Sk",,,2110Emco-Mysli03116,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Lipton ovocný _aj,,,,44.89,,rôzne druhy,1,,2110Unilever-CHARMING_POLDroite,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Podravka 1 kg + ch_apka v cene,1,kg,,159.37,,,,,Podravka_1kg,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Hor_ica plnotu_ná 420 g,420,g,,19.58,,"1 kg 1,54 € / 46,39 Sk",1,,2110Snico-SNICOhorcicaplnotucna420gzimna,,,,,,,,,,,,
7,,sk,21/10/2009,2/11/2009,Slovakia chips 75 g,75,g,,17.77,,"3 druhy, 1 kg 7,86 € / 236,79 Sk",,,2110Intersnack-Grandesol,,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Nicolaus Vodka Extra jemná 38% 0,7 l",0.7,l,,168.40,,"1 l 7,98 € / 240,40 Sk",,,NEJVodka_07l_38,,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Liehovina Gas Familia 35% 0,5 l",0.5,l,,79.53,,"Vodka jemná, Gin jemný, Borovi_ka spiš alebo Run tuzemský, 1 l 5,28 € / 159,06 Sk",,,GAS_Borovicka_Spis_05L_35,,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Škótska Whisky Richardson 40% 0,7 l",0.7,l,,210.58,266.01,"1 l 9,98 € / 300,65 Sk",2,,Richardson,-20%,,,,,,,,,,,
3,,sk,21/10/2009,2/11/2009,"Tokaji Furmint 0,75 l",0.75,l,,65.98,109.96,"alebo Tokaji Hárlevelú Lipovina 0,75 l, 1 l 2,92 € / 87,96 Sk",2,,FOTOLipovina075L,-40%,,,,,,,,,,,
