Nom du fonds :,Fonds JUMP LS,,,,,,,,,,,
,,,,,,,,,,,,
Répartition par pays,,,,,,,,,,,,
France,41.09%,,,,,,,,,,,
Allemagne République Fédérale,18.18%,,,,,,,,,,,
Pays-Bas,13.14%,,,,,,,,,,,
Espagne,8.04%,,,,,,,,,,,
Royaume-Uni,6.97%,,,,,,,,,,,
Suisse,4.15%,,,,,,,,,,,
Belgique,3.21%,,,,,,,,,,,
Suède,2.08%,,,,,,,,,,,
Brésil,1.45%,,,,,,,,,,,
Finlande,0.91%,,,,,,,,,,,
Italie,0.78%,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Répartition par devise,,,,,,,,,,,,
GBp (p),5.65%,,,,,,,,,,,
GBP (_),1.46%,,,,,,,,,,,
EUR (€),79.39%,,,,,,,,,,,
USD ($),0.00%,,,,,,,,,,,
BRL (R$),2.71%,,,,,,,,,,,
CHF (S_),8.66%,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Performances mensuelles,,,,,,,,,,,,
Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08
1.31%,4.84%,-4.04%,-7.63%,-2.13%,-5.50%,8.83%,0.28%,-7.81%,-6.77%,-12.70%,1.47%,6.14%
,,,,,,,,,,,,
Actif,Montant,% GAV,,,,,,,,,,
EURONEXT NV,"1,509,927.84 €",9.87%,,,,,,,,,,
VOLKSWAGEN AG (XETR),"818,100.00 €",5.35%,,,,,,,,,,
ALTADIS,"755,500.00 €",4.94%,,,,,,,,,,
CASINO GUICHARD,"750,901.02 €",4.91%,,,,,,,,,,
SUEZ SA,"728,773.00 €",4.76%,,,,,,,,,,
CL-FR DYN OR,"722,707.52 €",4.72%,,,,,,,,,,
GEA GROUP AG (XETR),"712,800.00 €",4.66%,,,,,,,,,,
ACCOR SA,"691,880.00 €",4.52%,,,,,,,,,,
RECKITT BENCKISE,"-677,121.15 €",4.43%,,,,,,,,,,
L'OREAL,"-497,812.50 €",3.25%,,,,,,,,,,
SCHNEIDER ELECTR,-40339200.00%,3%,,,,,,,,,,
PRAKTIKER BAU-UN (XETR),-39462500.00%,3%,,,,,,,,,,
EDF,39031320.00%,3%,,,,,,,,,,
DEUTSCHE BOERSE (XETR),"350,250.00 €",2%,,,,,,,,,,
ABB LTD-REG,"-345,246.44 €",2%,,,,,,,,,,
ALSTOM,"-320,422.50 €",2%,,,,,,,,,,
COLRUYT SA,"295,895.60 €",2%,,,,,,,,,,
HENNES & MAURI-B,"285,264.43 €",2%,,,,,,,,,,
MICHELIN-B,"-279,576.00 €",2%,,,,,,,,,,
SABMILLER PLC,"273,092.17 €",2%,,,,,,,,,,
BBVA,"-257,744.00 €",2%,,,,,,,,,,
CESP-PREF B,"222,289.68 €",1%,,,,,,,,,,
THALES SA,"-220,662.00 €",1%,,,,,,,,,,
BANCO POPULAR,"216,835.44 €",1%,,,,,,,,,,
TNT NV,"195,972.15 €",1%,,,,,,,,,,
DEXIA SA,"194,920.00 €",1%,,,,,,,,,,
VINCI SA,"-187,280.00 €",1%,,,,,,,,,,
SAFRAN SA,"-187,200.00 €",1%,,,,,,,,,,
PPR,"-183,468.80 €",1%,,,,,,,,,,
NEXANS SA,"179,561.00 €",1%,,,,,,,,,,
VALEO SA,"163,427.80 €",1%,,,,,,,,,,
JC DECAUX SA,"156,285.12 €",1%,,,,,,,,,,
HEINEKEN NV,"151,640.00 €",1%,,,,,,,,,,
NESTE OIL OYJ,"-139,945.00 €",1%,,,,,,,,,,
HENKEL KGAA-PFD (XETR),"-139,403.00 €",1%,,,,,,,,,,
LINDE AG (XETR),"-134,270.00 €",1%,,,,,,,,,,
NESTLE SA-REG,"-126,807.34 €",1%,,,,,,,,,,
HEIDELBERG DRUCK (XETR),"123,410.00 €",1%,,,,,,,,,,
ALITALIA,"-120,000.00 €",1%,,,,,,,,,,
CREDIT AGRICOLE,"101,950.00 €",1%,,,,,,,,,,
TUI AG (XETR),"-101,036.00 €",1%,,,,,,,,,,
SODEXO,"96,486.00 €",1%,,,,,,,,,,
BRITISH SKY BROA,"92,759.43 €",1%,,,,,,,,,,
EFG INTERNAT-REG,"-90,708.56 €",1%,,,,,,,,,,
WESSANEN NV,"87,700.00 €",1%,,,,,,,,,,
TOMTOM,"64,416.00 €",0%,,,,,,,,,,
CIBA SPECIALTY-R,"47,285.01 €",0%,,,,,,,,,,
ERICSSON LM-B,"-32,131.55 €",0%,,,,,,,,,,
SCHINDLER HLD-PC,"24,159.74 €",0%,,,,,,,,,,
WOLSELEY PLC,"23,474.82 €",0%,,,,,,,,,,
CARREFOUR SA,"22,860.00 €",0%,,,,,,,,,,
SAP AG (XETR),"-6,502.00 €",0%,,,,,,,,,,
