Invisible Area!,,Invisible Area!,Invisible Area!,Invisible Area!
Invisible Area!,,Invisible Area!,Invisible Area!,Invisible Area!
Invisible Area!,,Invisible Area!,Invisible Area!,Invisible Area!
Invisible Area!,,Visible Area,,
Invisible Area!,,,Cursor,
Invisible Area!,,,,
Invisible Area!,,SHEET VIEW SETTINGS TEST DOCUMENT,,
Invisible Area!,,,,
Invisible Area!,,15 - HORIZONTAL AND VERTICAL SPLIT,,
Invisible Area!,,,,
Invisible Area!,,15.1 - CURSOR AND SHEET POSITION,,
Invisible Area!,,Cursor Position,Visible Top-Left Area,
Invisible Area!,,Cell D5,Cell C4,
Invisible Area!,,,,
Invisible Area!,,15.2 - SPLIT PANES,,
Invisible Area!,,Split Size,Visible Bot-Right Area,Active Pane
Invisible Area!,,"3 Columns, 2 Rows",Cell C4,Bottom-Left
