__________ISDN-E1-PRA_________,,,,,,,,,,,,
,,,,,,,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_____,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,
__,__,__,__,__,__,__,__,__,__,__,___,___
_______,"3,445 ","3,445 ","3,445 ","3,445 ","3,495 ","3,725 ","5,125 ",,,,,
_______,"1,260 ","1,260 ","1,260 ","1,260 ","1,260 ","1,260 ","1,260 ",,,,,
_______,"4,605 ","4,605 ","4,605 ","4,605 ","5,055 ","4,810 ","5,555 ",,,,,
_______,587 ,594 ,650 ,651 ,661 ,700 ,720 ,,,,,
_______,65 ,64 ,66 ,67 ,67 ,74 ,77 ,,,,,
_______,230 ,231 ,230 ,233 ,249 ,249 ,249 ,,,,,
_______,17.04%,17.24%,18.87%,18.90%,18.91%,18.79%,14.05%,,,,,
_______,5.16%,5.08%,5.24%,5.32%,5.32%,5.87%,6.11%,,,,,
_______,4.99%,5.02%,4.99%,5.06%,4.93%,5.18%,4.48%,,,,,
