,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date de fraicheur :,,,,05/07/2008,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Informations,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table des PITD Version du 25 JUIN 2007 annule et remplace celle du 21 MAI 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les modifications par rapport à la version précédente sont identifiées suivant le code de couleurs ci-dessous:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"les lignes en vert clair signalent la modification d'une ou plusieurs cellules, indiquées en vert foncé,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,les lignes ou les colonnes en vert foncé sont des ajouts.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,les lignes en jaune indiquent les communes ajoutées directement dans la table des PITD,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Attention,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A compter du 1er juillet 2005 et suite à la décision en réunion plénière de la CRE du 11 mai 2005,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la température à retenir dans le calcul du profilage est la température efficace définie ci-après:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Teffj = 0,64 Tj + 0,24 Tj-1 + 0,12 Tj-2",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Teffj : température efficace pour la journée gazière J à retenir pour le calcul du profilage,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tj, Tj-1, Tj-2 : températures moyennes journalières issues de Météo France",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nouveauté,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A partir du 1er octobre 2005, un onglet supplémentaire est disponible dans le fichier ""table des PITD"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"conformément à la ""Procédure de mise à jour et de publication de la table des PITD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cet onglet ""ND"" (Nouvelle Distribution) liste les futures communes alimentées en gaz naturel en précisant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la meilleure date prévisionnelle de mise en gazafin éclairer les fournisseurs sur la période la plus probable d'alimentation des clients potentiels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A la date effective de la mise en service de la ND, la ligne de données correspondante est basculée de l'onglet ""ND"" à celui des communes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alimentées  dans l'onglet ""Table des PITD"". ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cette opération est réalisée à l'occasion de la 1ère mise à jour de la table des PITD postérieure à l'événement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NB : De façon exceptionnelle des communes peuvent entrer directement dans la table. Dans ce cas, elles sont signalées en jaune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A partir du 1er Juillet 2006, il y a une modification de la liste des stations météo ainsi que leur rattachement aux PITD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A partir du 1er avril 2007, la correspondance station météo / zone climatique a évolué de manière à ce que chaque station météo soit incluse dans ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
une et une seule zone climatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
