_____________________,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
__,,__,__,__,__,__,__,__,__,__,__,___,___,,,,,,,,,,,,
_____,,0 ,"1,500 ","10,000 ",0 ,"79,800 ",,,,,,,,,,,,,,,,,,,
__,1_14_,1_28_,2_25_,3_11_,3_25_,4_11_,4_22_,5_6_,5_20_,6_3_,6_17_,7_1_,7_15_,7_29_,8_12_,8_26_,9_9_,9_23_,10_7_,10_21_,11_4_,11_18_,12_2_,12_16_,12_30_
_______,"13,653,500 ","13,653,500 ","13,660,700 ","13,660,700 ","13,696,400 ","13,696,400 ","13,680,600 ","13,697,500 ","13,678,400 ","13,678,400 ","13,703,600 ","13,705,200 ","11,746,200 ","11,759,400 ","11,775,200 ",,,,,,,,,,
_______,"6,475,100 ","6,475,100 ","6,475,100 ","6,475,100 ","6,475,100 ","6,475,100 ","6,475,100 ","6,477,960 ","6,508,300 ","6,508,300 ","6,508,300 ","6,510,900 ","5,183,700 ","5,185,500 ","5,185,500 ",,,,,,,,,,
_______,"7,911,500 ","7,911,500 ","7,915,650 ","7,915,650 ","7,916,000 ","7,916,000 ","7,926,000 ","7,931,000 ","7,925,600 ","7,931,600 ","7,931,600 ","7,931,600 ","6,315,100 ","6,317,300 ","6,324,000 ",,,,,,,,,,
_______,"7,289,811","7,289,811","7,287,918","7,287,918","7,308,741","7,308,741","7,312,854","7,312,643","7,303,078","7,303,078","7,304,084","7,309,686 ","7,315,673 ","7,322,644 ","7,324,514 ",,,,,,,,,,
_______,"2,961,063","2,961,063","2,961,711","2,961,711","2,961,711","2,961,711","2,961,711","2,963,019","2,967,785","2,968,436","2,968,436","2,968,970 ","2,954,709 ","2,960,921 ","2,961,135 ",,,,,,,,,,
_______,"3,605,939","3,605,939","3,650,178","3,650,178","3,622,478","3,622,478","3,623,241","3,624,658","3,627,814","3,632,753","3,632,753","3,632,753 ","3,645,051 ","3,648,435 ","3,652,555 ",,,,,,,,,,
_______,53.39%,53.39%,53.35%,53.35%,53.36%,53.36%,53.45%,53.39%,53.39%,53.39%,53.30%,53.34%,62.28%,62.27%,62.20%,,,,,,,,,,
_______,45.73%,45.73%,45.74%,45.74%,45.74%,45.74%,45.74%,45.74%,45.60%,45.61%,45.61%,45.60%,57.00%,57.10%,57.10%,,,,,,,,,,
_______,45.58%,45.58%,46.11%,46.11%,45.76%,45.76%,45.71%,45.70%,45.77%,45.80%,45.80%,45.80%,57.72%,57.75%,57.76%,,,,,,,,,,
