Data,Data,
apples,32,
oranges,54,
peaches,75,
apples,86,
Formula,Description,Result
2,Number of cells with apples in cells A2 through A5.,2
1,Number of cells with peaches in cells A2 through A5.,1
3,Number of cells with oranges and apples in cells A2 through A5.,3
2,Number of cells with a value greater than 55 in cells B2 through B5.,2
3,Number of cells with a value not equal to 75 in cells B2 through B5.,3
3,Number of cells with a value greater than or equal to 32 and less than or equal to 85 in cells B2 through B5.,3
