Month  ,Cost  ,Formula (Corresponding Cost),,
,,Formula,Excel XP,Calc 3.2.1
1,"$133,890 ",133953.3333,133953.3333,133953.3333
2,"$135,000 ",134971.5152,134971.5152,134971.5152
3,"$135,790 ",135989.697,135989.697,135989.697
4,"$137,300 ",137007.8788,137007.8788,137007.8788
5,"$138,130 ",138026.0606,138026.0606,138026.0606
6,"$139,100 ",139044.2424,139044.2424,139044.2424
7,"$139,900 ",140062.4242,140062.4242,140062.4242
8,"$141,120 ",141080.6061,141080.6061,141080.6061
9,"$141,890 ",142098.7879,142098.7879,142098.7879
10,"$143,230 ",143116.9697,143116.9697,143116.9697
11,"$144,000 ",144135.1515,144135.1515,144135.1515
12,"$145,290 ",145153.3333,145153.3333,145153.3333
,,,,
Month  ,Formula (Predicted Cost),,,
,Formula,Excel XP,Calc 3.2.1,
13,146171.5152,146171.5152,146171.5152,
14,147189.697,147189.697,147189.697,
15,148207.8788,148207.8788,148207.8788,
16,149226.0606,149226.0606,149226.0606,
17,150244.2424,150244.2424,150244.2424,
,,,,
From,,,,
http://office.microsoft.com/en-us/excel-help/trend-HP005209320.aspx,,,,
