Source d'informations: GRD,,,,Source d'informations: GRD et GRT,,Source d'informations: GRD ,,,Source d'informations: GRD ,,,,,,,,,Source d'informations: GRT,,,,,,,,,,Observations
Communes,,,,PITD,,,,,GRD de rang 1,,,GRD de rang 2,,,GRD de rang 3,,,GRT,,,,,,,,,,
 Code Insee,Libellé,Distribution gérée par un GRD de rang 1 ou  2   ,Coefficient tarif de proximité,Code,Libellé,Code de la station météo rattachée au PITD,Nom de la station météo rattachée au PITD,Zone climatique du PITD,Code,Nom ,Contact,Code,Nom ,Contact,Code,Nom ,Contact,Code,Nom,Nombre de postes de livraison Transport/Distribution rattachés au PITD, Type de gaz, Niveau Tarifaire Régional (NTR),Zone de Sortie,GDTF,TIGF, Zone Equilbrage, Contact ,
,,,,,,,,,,,,,,,,,,,,,,,,Niveau Tarifaire de Sortie (NTS), Prix de Sortie (TCS) (€/MWh/j),,,
01004,AMBERIEU EN BUGEY,,"1,75",GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01007,AMBRONAY,,1,GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01008,AMBUTRIX,,1,GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01014,ARBENT,,1,GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01021,ARS SUR FORMANS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,"(*) PAPE ARS SUR FORMANS (GDF 1 ; CFM 1), accord global GDF et CFM sur le PITD LYON (CFM 1)   "
01024,ATTIGNAT,,1,GD0093,MONTREVEL-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01025,BAGE LA VILLE,,1,GD0096,FEILLENS,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,2,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,(*) PCE : BAGE LA VILLE DP (POTET)  
01026,BAGE LE CHATEL,,"1,75",GD0096,FEILLENS,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,2,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01027,BALAN,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,(*) Maillage avec PAPE de LYON (vanne fermée en exploitation normale)  
01030,BEAUREGARD,,"1,75",GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01031,BELLIGNAT,,"1,75",GD0092,OYONNAX,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01032,BELIGNEUX,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01033,BELLEGARDE SUR VALSERINE,,"1,75",  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01034,BELLEY,,1,GD0151,BELLEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,17,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01041,BETTANT,,1,GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01043,BEYNOST,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01047,BLYES,,1,GD0103,BLYES,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,7,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01049,LA BOISSE,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01053,BOURG EN BRESSE,,"1,75",GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,(*) réseau affermable  
01058,BREGNIER CORDON,,1,GD0150,BREGNIER-CORDON,38384001,Grenoble-Saint-Geoirs,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,9,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01058,BREGNIER CORDON,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01060,BRENOD,,1,GD0089,BRENOD,73329001,Chambery-Aix,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,3,H,11,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01062,BRESSOLLES,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01063,BRION,,1,GD0091,IZERNORE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,13,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01065,BUELLAS,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01069,CERTINES,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01071,CESSY,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01072,CEYZERIAT,,1,GD0161,BOURG-EN-BRESSE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,4,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01074,CHALAMONT,,1,GD0099,CHALAMONT,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,0,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01075,CHALEINS,,1,GD0136,LYON,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,1,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01089,CHATEAU GAILLARD,,1,GD0153,AMBERIEU-EN-BUGEY,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,1,H,8,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01091,CHATILLON EN MICHAILLE,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,  
01093,CHATILLON SUR CHALARONNE,,1,GD0157,CHATILLON-SUR-CHALARONNE,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,2,H,3,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01099,CHAZEY SUR AIN,,1,GD0102,CHAZEY-SUR-AIN,69029001,Lyon-Bron,H1,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,GDFT,GRT Gaz,3,H,4,LYONNAIS,5,,ZONE SUD,acces-reseau-accueil@grtgaz.com,  
01103,CHEVRY,,1,  ,  ,  ,  ,,GDFD,Gaz de France Distribution,acces-reseau-distribution@gazdefrance.com,  ,  ,,  ,  ,,  ,  ,,  ,,,,,,,"(*) Alimentation à partir du réseau GAZNAT --> oui, voir ferney Voltaire  "
