中華電信網路容量及使用現況雙週報表,,,,,,,,,,,,,,
,,,,,,,,,,填表日期：91 年 06 月17日,,,,
,項                         目,單位,分公司,至90年12月累計數,91年預定建設數,建設執行現況(%),91年當月累計設備總量,"當週累計
使用總量",使用率%,備註,91實際累計建設量,累計淨增,,
1,市話交換機門號數(POTS),門,北分,8,253,465 ,1,137,000 ,8.03%,8,269,765 ,6,713,076 ,81.18%,固網(資料取得截止日期91/05/31),91,300 ,91,300 ,行銷處23445420吳碧芬,
,,,中分,4,082,500 ,79,000 ,18.99%,4,077,500 ,2,872,249 ,70.44%,,15,000 ,15,000 ,,
,,,南分,4,823,946 ,512,300 ,33.83%,4,810,030 ,3,319,732 ,69.02%,,173,300 ,173,300 ,,
2,ISDN BRA,埠,北分,79,129 ,832 ,0.00%,79,129 ,18,538 ,23.43%,,0 ,1,912 ,行銷處23442588周美玉,
,,,中分,23,590 ,340 ,75.29%,23,846 ,3,857 ,16.17%,,256 ,1,024 ,,
,,,南分,41,150 ,1,486 ,37.69%,41,710 ,5,484 ,13.15%,,560 ,1,592 ,,
3,ISDN T1-PRA,埠,北分,8,177 ,0 ,0.00%,8,177 ,4,603 ,56.29%,,0 ,2,534 ,,
,,,中分,4,486 ,310 ,32.26%,4,586 ,1,686 ,36.76%,,100 ,260 ,,
,,,南分,5,614 ,0 ,0.00%,5,614 ,1,687 ,30.05%,,0 ,3,262 ,,
4,ISDN E1-PRA,埠,北分,3,445 ,2,670 ,1.87%,3,495 ,661 ,18.91%,,50 ,2,910 ,,
,,,中分,1,260 ,0 ,0.00%,1,260 ,67 ,5.32%,,0 ,650 ,,
,,,南分,4,605 ,980 ,45.92%,5,055 ,249 ,4.93%,,450 ,4,000 ,,
5,長話交換機門號數,門,長通,2,088,000 ,60,000 ,0.00%,2,289,480 ,1,325,951 ,57.91%,固網(資料取得截止日期91/05/31),,,,
6,國際交換機門號數,門,國際,74,840 ,-,-,74,840 ,55,969 ,74.78%,國際(資料取得截止日期91/05/31),,,,
,國際IN交換機門號數,門,國際,30,000 ,-,-,30,000 ,6,997 ,23.32%,,,1,968,000 ,擴充153480,102000,6000,POI四期60000尚未完工,
7,區域ATM寬頻接取網路,套,北分,657,555 ,-,-,722,653 ,625,784 ,86.60%,寬頻(PAMS資料取得截止日期91/06/17),,653,985 ,,
,,,中分,327,445 ,-,-,380,611 ,256,702 ,67.44%,,,322,856 ,,
,,,南分,324,702 ,-,-,372,742 ,291,371 ,78.17%,,,318,770 ,,
8,長途ATM寬頻網路,套,長通,--,-,100.00%,11 ,-,-,驗收完成，北區分公司辦理遷裝議價中。,,11 ,,
9,長途同步數位階層SDH網路,部,長通,480 ,14 ,0.00%,570 ,270 ,47.37%,傳輸骨幹網路(資料取得截止日期91/06/17),,0 ,,
10,區域同步數位階層SDH網路,部,全區,875 ,404 ,54.46%,875 ,605 ,69.14%,,220,0 ,,
11,寬頻上網ADSL設備,路,北分,582,263 ,450,000 ,64.85%,788,148 ,689,043,87.43%,網際網路(資料取得截止日期91/06/17),,915,010 ,須考慮可用數,
,,,中分,350,232 ,250,000 ,39.08%,518,681 ,264,998,51.09%,,,,,
,,,南分,311,120 ,200,000 ,29.95%,400,488 ,292,386,73.01%,,,,,
12,HiNet寬頻接取埠,埠,全區,1,000,000 ,900,000 ,100.00%,1,900,000 ,977,720 ,51.46%,,,800,000 ,23444600康崇原科長;23442307徐明山股長,
13,行動電話交換機,門,長通,6,500,000 ,700,000 ,142.86%,7,500,000 ,6,902,561,92.03%,行動(資料取得截止日期91/06/17),,1,597,411 ,,
14,行動電話基地臺,座,長通,5,165 ,1,430 ,57.69%,5,990 ,5,981,99.85%,,,1,876 ,,
15,局間中繼光纜,心公里,北分,235,320 ,21,000 ,52.16%,244,610 ,110,634,45.23%,光纜(資料取得截止日期91/05/28),7,698 ,,,
,,,中分,215,317 ,22,600 ,46.25%,231,558 ,88,777,38.34%,,4,416 ,,,
,,,南分,198,616 ,17,600 ,44.22%,205,660 ,80,724,39.25%,,4,683 ,,,
16,用戶迴路光纜,心公里,北分,223,779 ,18,000 ,59.32%,233,534 ,41,577,17.80%,,5,176 ,,,
,,,中分,195,607 ,37,100 ,35.47%,205,498 ,31,134,15.15%,,5,623 ,,,
,,,南分,134,048 ,28,500 ,24.59%,142,093 ,26,114,18.38%,,1,500 ,,,
17,市話線路,對,北分,13,652,200 ,55,200 ,78.26%,13,703,600 ,7,304,084,53.30%,線路(資料取得截止日期91/05/28),22,400 ,,,
,,,中分,6,472,300 ,59,200 ,60.81%,6,508,300 ,2,968,436,45.61%,,10,500 ,,,
,,,南分,7,902,900 ,75,000 ,38.27%,7,931,600 ,3,632,753,45.80%,,13,100 ,,,
18,國內海纜,Mbps,長通,5,825,-,-,10,665 ,3,570,33.47%,海纜(資料取得截止日期91/04/30),,,,
19,國際海纜,Mbps,國際,28,864,-,-,28,864 ,9,888,34.26%,,,,,
